Problem,Variant,AblationID,Run,IGD,HV,Runtime,FE
DF2,No_Memristor_Adaptive,2,8,0.00514473506974266,0.717353094464765,2.5175325,10000
DF2,No_Memristor_Adaptive,2,9,0.00628545181870515,0.715298030926882,2.4195638,10000
DF2,No_Memristor_Adaptive,2,10,0.0148005542018537,0.70413844540992,2.703056,10000
DF2,No_Memristor_Adaptive,2,11,0.0109286317588171,0.709136154079186,2.3299637,10000
DF2,No_Memristor_Adaptive,2,12,0.012056850653243,0.707352750551532,2.5844669,10000
DF2,No_Memristor_Adaptive,2,13,0.00684449876340425,0.71452626492577,2.3958443,10000
DF2,No_Memristor_Adaptive,2,14,0.0061104109062761,0.715929413600922,2.1435593,10000
DF2,No_Memristor_Adaptive,2,15,0.0050620349906233,0.717145973577882,2.3200155,10000
DF2,No_Memristor_Adaptive,2,16,0.0194002836700032,0.69746973512419,2.0459262,10000
DF2,No_Memristor_Adaptive,2,17,0.0142477710763617,0.705121961293838,1.8671676,10000
DF2,No_Memristor_Adaptive,2,18,0.0137516734822027,0.704210113076638,2.0041286,10000
DF2,No_Memristor_Adaptive,2,19,0.00574479487167697,0.715875294937847,2.0173195,10000
DF2,No_Memristor_Adaptive,2,20,0.0107997887060056,0.708597559788341,2.068214,10000
DF2,No_Memristor_Adaptive,2,21,0.00458777497466486,0.718122562219016,2.2683686,10000
DF2,No_Memristor_Adaptive,2,22,0.0067319142181631,0.714771639850529,2.3853275,10000
DF2,No_Memristor_Adaptive,2,23,0.00624989446087183,0.715081295180285,2.2036684,10000
DF2,No_Memristor_Adaptive,2,24,0.00710188351955362,0.71339703694678,2.1160074,10000
DF2,No_Memristor_Adaptive,2,25,0.00583088054349184,0.716216852979294,2.0891336,10000
DF2,No_Memristor_Adaptive,2,26,0.00674634730889095,0.71483628045856,2.3191756,10000
DF2,No_Memristor_Adaptive,2,27,0.00693563772242158,0.713673430480248,2.1349108,10000
DF2,No_Memristor_Adaptive,2,28,0.00769740142725998,0.713127221713176,2.4810029,10000
DF2,No_Memristor_Adaptive,2,29,0.0126556848539372,0.706914113134504,2.4189978,10000
DF2,No_Memristor_Adaptive,2,30,0.0113425766748674,0.707981607749824,2.2645343,10000
DF2,No_Random_Immigrants,3,1,0.0164542117766854,0.70220833334208,2.4174085,10020
DF2,No_Random_Immigrants,3,2,0.0079105071115823,0.712067643614247,2.2588103,10020
DF2,No_Random_Immigrants,3,3,0.00879841738034292,0.711978690148234,2.3346118,10020
DF2,No_Random_Immigrants,3,4,0.0117981829946089,0.707924006449152,2.3276072,10020
DF2,No_Random_Immigrants,3,5,0.0191270651536538,0.6981034811156,2.0986892,10020
DF2,No_Random_Immigrants,3,6,0.0174806309910086,0.699584009129932,2.4172369,10020
DF2,No_Random_Immigrants,3,7,0.0162587147713665,0.701008913162683,2.4670814,10020
DF2,No_Random_Immigrants,3,8,0.00656237416996175,0.715006075910543,2.6665613,10020
DF2,No_Random_Immigrants,3,9,0.00626239124656181,0.715467969590417,2.4166889,10020
DF2,No_Random_Immigrants,3,10,0.0163491818633162,0.70222891942791,2.4514027,10020
DF2,No_Random_Immigrants,3,11,0.0112116783319302,0.70808120303423,2.1779033,10020
DF2,No_Random_Immigrants,3,12,0.0309643730715508,0.682805233222199,2.3252669,10020
DF2,No_Random_Immigrants,3,13,0.00714263048962218,0.714480079564857,2.5694717,10020
DF2,No_Random_Immigrants,3,14,0.0180649888008605,0.699957071288147,2.304315,10020
DF2,No_Random_Immigrants,3,15,0.00583603653520645,0.715831738162427,2.6929611,10020
